"Model","Scenario","Region","Variable","Unit","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","2051","2052","2053","2054","2055","2056","2057","2058","2059","2060","2061","2062","2063","2064","2065","2066","2067","2068","2069","2070","2071","2072","2073","2074","2075","2076","2077","2078","2079","2080","2081","2082","2083","2084","2085","2086","2087","2088","2089","2090","2091","2092","2093","2094","2095","2096","2097","2098","2099","2100"
"REMIND-MAgPIE 2.1-4.2","EN_NPi2020_300f","World","AR6 climate diagnostics|Infilled|Emissions|Kyoto Gases (AR6-GWP100)","Mt CO2-equiv/yr",54308.53154123,54463.42891576243,54618.33901650328,54773.26185103,54928.19741466684,55083.14569893268,52550.34293191782,50019.048408649,47489.26213413172,44960.98410164534,42434.21431267346,40593.14252728331,38753.789311125096,36916.15465605787,35080.2385574694,33246.041025419814,31875.694236894127,30506.759358797488,29139.23638680032,27773.125327953698,26408.42617226226,25457.11028719525,24506.88146316664,23557.73969000593,22609.684987922832,21662.71734123601,20826.5857184558,19991.48407316812,19157.41242632553,18324.37076285669,17492.35908693948,16583.30141012207,15675.32166199073,14768.41984159561,13862.59595260214,12957.84999782359,12384.88019285356,11812.60336723532,11241.01951804214,10670.12864998222,10099.930762278487,9663.17775360198,9226.91218312052,8791.134056477571,8355.84337066656,7921.040128441829,7598.08040829328,7275.46874514041,6953.205135536459,6631.2895894924895,6309.72209774617,5988.522133022369,5667.67057268059,5347.16740936169,5027.012646929629,4707.206280454079,4253.094970501181,3799.462928852199,3346.310153916009,2893.6366539122296,2441.44242046146,1989.7393826233608,1538.5158027319794,1087.7716901568897,637.5070376349097,187.7218448803397,-326.60979625586083,-840.9423391358204,-1355.2757817381412,-1869.6101270772408,-2383.9453691768604,-2898.2978923287,-3412.6515708249904,-3927.00638458257,-4441.362343669471,-4955.71944806355,-5277.8272287400605,-5599.935531654118,-5922.044366719028,-6244.153733980481,-6566.26364327157,-6888.374074836551,-7210.485038549539,-7532.596544369149,-7854.70857243705,-8176.8211326558
"REMIND 2.1","CEMICS_GDPgrowth_1p5","World","AR6 climate diagnostics|Infilled|Emissions|Kyoto Gases (AR6-GWP100)","Mt CO2-equiv/yr",54308.53154123,54421.84529859195,54535.34994296442,54649.045489384174,54762.93194321833,54877.00928359169,52515.961211279006,50155.84555763771,47796.66231273937,45438.41148157349,43081.09305167013,41252.32458666803,39424.57001174612,37597.82933494801,35772.10255371923,33947.389649603945,32483.674580415955,31020.79617671573,29558.754466161063,28097.54942127764,26637.18106183933,25525.96962579865,24415.49077023981,23305.74450234716,22196.7308052405,21088.4496984902,20177.56679144133,19267.37572002438,18357.87648335328,17449.069080413865,16540.953509420353,15558.2563991317,14576.282278947185,13595.031155368131,12614.503027622815,11634.697889802364,10915.733235516773,10197.3329874762,9479.49714246114,8762.225703302569,8045.518664117078,7472.027757804154,6898.972595867164,6326.353174122032,5754.169491251972,5182.42155125904,4744.143631510981,4306.173008014619,3868.5096744163006,3431.15363987508,2994.10490084542,2557.40523140442,2121.0133578961795,1684.9292809127005,1249.1529987813803,813.6845149048401,526.8764305639265,240.24571198532144,-46.20764424575249,-332.48364375614693,-618.582278838071,-904.4825232316464,-1190.2051161070392,-1475.7500596432258,-1761.1173720366592,-2046.3070298192729,-2255.204627837072,-2464.1039476059127,-2673.0049808217814,-2881.907746550062,-3090.8122344415224,-3299.755054128103,-3508.6999442630704,-3717.6469260031504,-3926.595988742392,-4135.547132324199,-4343.634342207926,-4551.7227539261285,-4759.812356636196,-4967.903150609941,-5175.995126144943,-5384.09101051787,-5592.188086429875,-5800.286344177368,-6008.385803293154,-6216.486453301821
"AIM/Hub-Global 2.0","1.5C","World","AR6 climate diagnostics|Infilled|Emissions|Kyoto Gases (AR6-GWP100)","Mt CO2-equiv/yr",54308.53154123,55140.57873632227,55972.09682224371,56803.0858066116,57633.54568632637,58463.47645158087,55386.38873496143,52310.5225278318,49235.87785277998,46162.45469761517,43090.25305183841,41048.55187055704,39007.92684540135,36968.3779634089,34929.90523485665,32892.508662345484,30796.115532662483,28700.927519959,26606.94461476993,24514.166827088942,22422.59415382085,20723.538121241712,19025.49113968599,17328.453208880976,15632.424331119788,13937.404500297374,13211.79407875196,12486.826721344516,11762.502434154483,11038.821216658109,10315.783064075436,9942.112624310384,9568.609917559104,9195.274936244654,8822.107681366144,8449.108155705024,7879.97466933218,7311.081900886277,6742.429854819636,6174.018530491903,5605.847924921989,5023.581789246142,4441.829339692283,3860.590577620245,3279.8655027116047,2699.654113979036,2126.122901894274,1553.0905146880032,980.5569538675217,408.5222176290592,-163.01369398287198,-135.68961925110307,-108.32139813875132,-80.90903440167217,-53.45252656404245,-25.95187540769224,-2.5588052089776028,20.865751498096937,44.32179425806147,67.80931974680581,91.3283313248118,-112.30395421567655,-315.7151893604623,-518.905372765709,-721.8745088332461,-924.622593482282,-912.7009819293772,-900.7812721848616,-888.8634643448052,-876.9475583640613,-865.0335542070046,-851.8523623854252,-838.673072420835,-825.4956843184636,-812.3201980632341,-799.1466126713642,-788.8026225963144,-778.4598239342444,-768.1182166759456,-757.7778008408067,-747.4385763949167,-740.2722919284441,-733.1071989001713,-725.943297253487,-718.7805870067742,-711.6190681811706
"MESSAGE-GLOBIOM 1.0","EMF33_1.5C_cost100","World","AR6 climate diagnostics|Infilled|Emissions|Kyoto Gases (AR6-GWP100)","Mt CO2-equiv/yr",54308.53154123,53885.21989701557,53461.891490415386,53038.546285790166,52615.18431328478,52191.80555828856,49203.44357327222,46215.995323234776,43229.46081817302,40243.84005549974,37259.13304049977,34300.982235880714,31343.79317230889,28387.56584405383,25432.300250705408,22477.99639527488,21452.93724818609,20428.08673134153,19403.444857857427,18379.01161080486,17354.78699368424,16331.46930174631,15308.374820386372,14285.503548459204,13262.855491101443,12240.430640583358,11471.749492857274,10703.342192597802,9935.208738420608,9167.349135826904,8399.763380676692,7632.709046958578,6865.929657314825,6099.42521874922,5333.195729011048,4567.241187165475,3666.596843596626,2766.186913869257,1866.011396708319,966.0702885026694,66.36359063030123,-832.8979903853368,-1731.924103644486,-2630.714748444236,-3529.269925398344,-4427.589634587202,-4667.069517039852,-4906.374506805723,-5145.504590785272,-5384.459768653572,-5623.240040893422,-5861.825934102571,-6100.236582023301,-6338.47198251948,-6576.53213534439,-6814.417050940281,-7022.18551479062,-7229.82530328164,-7437.33644219656,-7644.718908689779,-7851.972715452581,-8059.085926294119,-8266.07029266334,-8472.925793978859,-8679.65244039248,-8886.25022489458,-8991.915427776941,-9097.58153420656,-9203.24853843734,-9308.916443207,-9414.58524912708,-9520.27133867758,-9625.95857087492,-9731.646948406762,-9837.33647097132,-9943.02714176116,-9979.627702292992,-10016.228787599168,-10052.8304124987,-10089.432572159209,-10126.03525138042,-10162.638475300111,-10199.242218849326,-10235.84650433686,-10272.451314727376,-10309.056665966247
"REMIND-MAgPIE 2.1-4.2","SusDev_SDP-PkBudg1000","World","AR6 climate diagnostics|Infilled|Emissions|Kyoto Gases (AR6-GWP100)","Mt CO2-equiv/yr",54308.53154123,54447.22620277929,54585.931568339554,54724.64762795398,54863.37438877456,55002.1118435894,52456.019204864206,49911.42116161537,47368.31772100049,44826.70888575869,42286.594636466965,40375.20653111671,38465.18690408456,36556.53577509891,34649.25312438779,32743.33896922821,31145.82889687497,29549.62964912784,27954.74124598958,26361.16367023621,24768.896916060727,23594.017422706616,22420.08399961736,21247.0966339982,20075.05532898451,18903.96008455465,17925.030743101102,16946.935922095432,15969.675605891858,14993.249817346756,14017.65853945454,13116.591132975684,12216.3214171665,11316.849391141372,10418.175053105544,9520.29840490022,9086.341671711662,8652.860708129065,8219.855512709668,7787.326085540903,7355.272427268876,6977.765481579952,6600.67424223564,6223.998709644376,5847.7388841176335,5471.8947656481,5162.552992781027,4853.539258990462,4544.853561785797,4236.495902650623,3928.4662810967993,3621.042317410361,3313.946391597992,3007.178503337744,2700.738652607426,2394.626839806797,2223.5763116649323,2052.681912471856,1881.9436401576709,1711.3614970364752,1540.93548116553,1370.720635780165,1200.66191808329,1030.759328557656,861.012867541671,691.422533137996,607.5388302714967,523.653225564957,439.7657199929368,355.876311532397,271.98500120530986,188.25139573857007,104.51588843782974,20.778479250709708,-62.96083178819014,-146.70204472944977,-240.0086334242898,-333.3164135762901,-426.6253851305901,-519.93554809695,-613.2469024340301,-706.6011032752598,-799.9564955577903,-893.3130792179804,-986.67085429457,-1080.0298208179397
"GCAM 4.2","SSP1-19","World","AR6 climate diagnostics|Infilled|Emissions|Kyoto Gases (AR6-GWP100)","Mt CO2-equiv/yr",54308.53154123,53827.41169000731,53346.28668793995,52865.15655015256,52384.02127502201,51902.88086016582,49840.62320246611,47778.486656778274,45716.47121617879,43654.57688506434,41592.80366881156,39564.76199629797,37536.84162329264,35509.04254067028,33481.36475814847,31453.80826552076,30499.70487961598,29545.62916527423,28591.58112742343,27637.56076600036,26683.56807579321,25731.27518543539,24779.10828617877,23827.06737422589,22875.15243578156,21923.3634844195,21023.8366677208,20124.50800755638,19225.3775121066,18326.4451754682,17427.71100416976,16519.32204070248,15611.13132656601,14703.13885777715,13795.34463692835,12887.74866202197,12352.25234969031,11816.96681837289,11281.89206088635,10747.028080220827,10212.37487998601,9714.05058509961,9215.9370909014,8718.034399461469,8220.342505419769,7722.86141154502,7252.2822496294,6781.88536777717,6311.670772503549,5841.638458222,5371.78842849146,4902.228665778071,4432.851186900641,3963.65599074153,3494.64307749458,3025.81244784417,2553.39706246303,2081.12812376744,1609.00562960402,1137.02957965358,665.1999742742705,193.2279910208007,-278.59754417269016,-750.2766380290594,-1221.80928475834,-1693.19548493505,-2208.2706792496606,-2723.3468975337805,-3238.424137776061,-3753.5024010518487,-4268.58168694973,-4783.324874924219,-5298.06908578269,-5812.81431972554,-6327.5605765821,-6842.307856357352,-7375.69448502122,-7909.081643358601,-8442.46933454907,-8975.85755792843,-9509.24631383318,-10041.94708798808,-10574.64839433188,-11107.35023601826,-11640.05260767254,-12172.75551154412
"REMIND 1.7","CEMICS-1.5-CDR12","World","AR6 climate diagnostics|Infilled|Emissions|Kyoto Gases (AR6-GWP100)","Mt CO2-equiv/yr",54308.53154123,54501.15676252519,54693.89391654001,54886.7430030768,55079.704026961,55272.77698643459,52615.43959815172,49953.01263871359,47285.4961037745,44612.88999322521,41935.19431449183,39141.99457016396,36343.76609544814,33540.5088748436,30732.22292108252,27918.90822406212,25504.11972789578,23085.72586467248,20663.72660335674,18238.121972462868,15808.91195430217,14263.56548342715,12715.80569587192,11165.6325877406,9613.04616229271,8058.046414770971,7217.33583027344,6374.90248494625,5530.746381585829,4684.86751911378,3837.265899685449,3488.37758012157,3138.35899824456,2787.2101556993707,2434.93105351655,2081.5216861308104,1905.20453235752,1728.21853767319,1550.56370575423,1372.2400366632398,1193.2475304589195,983.1472945508106,772.2780190143706,560.6397048202391,348.23234909622977,135.05595282890943,-66.07111841939074,-268.04186391722953,-470.8562872548506,-674.5143857177806,-879.0161593766007,-1084.3421383322102,-1290.5114386935995,-1497.52409313012,-1705.3800717084891,-1914.079378912941,-2052.976831397981,-2192.621441476909,-2333.013226422831,-2474.1521717583505,-2616.0382947107505,-2758.659661983691,-2902.0280044594097,-3046.14331228144,-3191.0056052438504,-3336.6148734846493,-3397.7517216106594,-3458.88947048964,-3520.02811011456,-3581.1676604646696,-3642.3081115926,-3703.46584375785,-3764.6247212439407,-3825.784734005221,-3886.9459021330304,-3948.10821553133,-4001.701856849871,-4055.2960303520495,-4108.890735999289,-4162.48596384307,-4216.08173381359,-4269.678035963091,-4323.27487031093,-4376.872236755669,-4430.470125370659,-4484.068556225991
"WITCH-GLOBIOM 3.1","SSP4-19","World","AR6 climate diagnostics|Infilled|Emissions|Kyoto Gases (AR6-GWP100)","Mt CO2-equiv/yr",54308.53154123,54550.44631917958,54791.95290551041,55033.051270247066,55273.741435872565,55514.023397653466,52226.08277330637,48940.30398717319,45656.68703677345,42375.23192475367,39095.93865075237,35824.54764903112,32555.31760091524,29288.24850597556,26023.340367858706,22760.59318312965,22289.96557828299,21819.63393652193,21349.59826676189,20879.85856242967,20410.41480780287,19941.25818682671,19472.39611221479,19003.82856521969,18535.55556332283,18067.57709558419,17436.31159267985,16805.486407670727,16175.10154255433,15545.15699555933,14915.65276556855,14286.84351907011,13658.47549353871,13030.54869246745,12403.063111058049,11776.018754090052,11222.254055300007,10668.86185665133,10115.84215282641,9563.19495115525,9010.92024595425,8459.33111968705,7908.11646913723,7357.27629918197,6806.810607266189,6256.71939288447,5836.279809604211,5416.13724423526,4996.29170161986,4576.743175872551,4157.49167254557,3738.5959272507,3319.99784076044,2901.69740767985,2483.69463422275,2065.98951511926,1662.1215042490203,1258.60066871935,855.4270083806798,452.6005229511002,50.1212152719299,-352.0452086729595,-753.8647830315797,-1155.3375099288498,-1556.4633875854597,-1957.2424158302208,-2195.3249130653107,-2433.4098780054005,-2671.49731159336,-2909.58721851415,-3147.6795910700016,-3385.672870699961,-3623.667591945192,-3861.663759525401,-4099.661374529141,-4337.66043308427,-4506.694034261139,-4675.72772228193,-4844.76149677865,-5013.79535611168,-5182.8293050498505,-5351.67971447484,-5520.52845920751,-5689.37552941246,-5858.22094175179,-6027.064692426709
"REMIND-MAgPIE 2.1-4.2","EN_NPi2020_400f","World","AR6 climate diagnostics|Infilled|Emissions|Kyoto Gases (AR6-GWP100)","Mt CO2-equiv/yr",54308.53154123,54467.36080801321,54626.15971205225,54784.92826074434,54943.66644904683,55102.37426945037,52809.71752053995,50518.48637335839,48228.68082053753,45940.30087487831,43653.34652088767,41857.40865245087,40063.16836788379,38270.62566560915,36479.78054169877,34690.633009829035,33311.66040865939,31934.146049546907,30558.08994445835,29183.492094455385,27810.35249120065,26892.935439214867,25976.588805034648,25061.31258556329,24147.10679654268,23233.97141237082,22437.75773118233,21642.533850088017,20848.299776284708,20055.055516204568,19262.80105827033,18353.529774694383,17445.343570628294,16538.242441543454,15632.226391932343,14727.295420884291,14134.262591601177,13541.944564464178,12950.341338593502,12359.452910443244,11769.27927608234,11334.994089879265,10901.193100380484,10467.876309530187,10035.043717937531,9602.695319881455,9304.384077184488,9006.387986312704,8708.70704660714,8411.341257518334,8114.29061881873,7817.613869462183,7521.25291064162,7225.207738206314,6929.47835105062,6634.064754573034,6279.6209208368655,5925.538259071608,5571.81676669451,5218.456442595931,4865.457285029895,4512.785008594496,4160.473574271378,3808.5229817872096,3456.933231510912,3105.704321276713,2579.5823565347605,2053.4579241484084,1527.3310263594972,1001.2016608672146,475.0698297264216,-50.96290249197064,-576.9970771532029,-1103.032693298095,-1629.0697508752178,-2155.108249926609,-2586.620158784321,-3018.1321468208826,-3449.644223846773,-3881.156390142044,-4312.668655386367,-4743.997375480316,-5175.324433725099,-5606.649840155871,-6037.973574878381,-6469.295647581102
"REMIND-MAgPIE 1.7-3.0","PEP_1p5C_full_eff","World","AR6 climate diagnostics|Infilled|Emissions|Kyoto Gases (AR6-GWP100)","Mt CO2-equiv/yr",54308.53154123,54647.52212565782,54986.57973417708,55325.704399827,55664.89609523485,56004.15483466508,53740.07962474838,51475.00618390866,49208.934524447504,46941.864651259006,44673.79655245672,42633.017662990846,40591.86783922586,38550.34708845239,36508.4554112876,34466.19280318001,32489.468509291848,30512.41657427345,28535.0370131976,26557.3297978422,24579.29495685422,23180.13614779787,21781.06106989194,20382.069729921008,18983.16211205595,17584.33822997583,16253.982501027322,14923.5545440869,13593.054349696771,12262.481927215991,10931.83727016742,9948.35197455821,8964.95802486655,7981.65542242955,6998.44416388048,6015.3242523399895,5141.718113971039,4268.114409055821,3394.5131428105806,2520.91431584056,1647.3179238642297,1037.505597388399,427.76205192741946,-181.9127085968904,-791.5186891994596,-1401.05588382497,-1795.2304016445994,-2189.3815686973294,-2583.509396687321,-2977.6138733743105,-3371.6950009620105,-3765.706745616029,-4159.69465100239,-4553.658693823791,-4947.59889956413,-5341.515263319301,-5528.06518330284,-5714.6395498338,-5901.2383478149095,-6087.8615823275295,-6274.509250644521,-6461.15404170192,-6647.82299774004,-6834.5160928632895,-7021.23335295345,-7207.9747651428,-7318.485254794139,-7428.997467118921,-7539.5114021609,-7650.027059901921,-7760.544440340521,-7871.10006810444,-7981.657776890431,-8092.21756669525,-8202.77943749963,-8313.34337933615,-8452.42838078208,-8591.514573681,-8730.60195801137,-8869.690533753721,-9008.780300773731,-9147.871258263373,-9286.96340710908,-9426.056747302053,-9565.151279009153,-9704.24700208992
