"Model","Scenario","Region","Variable","Unit","2000","2005","2010","2015","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"AIM/CGE 2.1","CD-LINKS_NPi2020_400","World","Emissions|Kyoto Gases","Mt CO2-equiv/yr","",45004.9001,46886.4705,49626.3896,52661.7327,38484.2734,28881.53,19635.6983,12549.2144,4912.1568,-179.3885,-1668.8833,-2061.752,-1904.7976,-1752.1899,-1646.5389,-1660.3518,-1645.3262,-1486.5392,-1526.5936,-1681.4178
"POLES EMF33","EMF33_WB2C_cost100","World","Emissions|Kyoto Gases","Mt CO2-equiv/yr",35466.79296875,41116.7734375,45069.0546875,"",50371.28125,"",27566.208984375,"",19047.892578125,"",10959.8974609375,"",3641.67016601562,"",-756.1116333007809,"",-3344.36376953125,"",-4689.7587890625,"",-6380.23583984375
"REMIND 2.1","CEMICS_Linear_1p5","World","Emissions|Kyoto Gases","Mt CO2-equiv/yr","",46724.0532,50882.076,53745.6795,54099.2318,43021.1754,34416.8874,26264.4113,20036.078,15099.7859,9876.8522,5922.6467,2583.7714,"",-2558.2972,"",-5406.7666,"",-7422.7401,"",-8942.7636
"C-ROADS-5.005","Ratchet-1.5-limCDR-noOS","World","Emissions|Kyoto Gases","Mt CO2-equiv/yr","",45158.6,49452.2,53180.3,52294.2,41718.8,23205.7,11008.4,3503.68,-807.567,-3163.42,-3752.66,-3601.8,-3237.38,-2707.81,-2100.95,-1442.45,-558.35,309.967,1102.04,1840.77
"AIM/CGE 2.2","EN_NPi2020_300f","World","Emissions|Kyoto Gases","Mt CO2-equiv/yr","","",49219.413,52360.2689,57109.6096,42913.8284,32595.3375,25006.5711,21401.0207,16534.1433,10710.6649,5956.1109,2023.2212,-1127.1542,-2981.0398,-3404.0431,-3359.0371,-3222.2101,-3112.7316,-3020.3795,-2943.2552
"POLES EMF33","EMF33_WB2C_full","World","Emissions|Kyoto Gases","Mt CO2-equiv/yr",35466.79296875,41116.7734375,45069.0546875,"",50373.375,"",28044.056640625,"",19547.5,"",11173.392578125,"",3892.03686523438,"",-525.58642578125,"",-3480.65600585938,"",-4875.646484375,"",-6701.2607421875
"WITCH 5.0","EN_NPi2020_500f","World","Emissions|Kyoto Gases","Mt CO2-equiv/yr","","",46941.39108612309,50289.71806122792,51198.22803360861,31528.39626196555,25317.49096492922,20935.97248932458,18306.62101466212,14984.68088877576,11767.00715523579,9184.99079529037,6733.727366421185,4838.356716382234,2765.054786554825,321.9227421555638,-1685.081799388937,-3406.677490597253,-4989.346856935884,-6379.38484970574,-7909.370363035223
"REMIND 1.7","CEMICS-1.5-CDR20","World","Emissions|Kyoto Gases","Mt CO2-equiv/yr","",48717.3068,54361.63099999999,61652.101,62170.2981,50639.64,38277.21,28421.85,21615.24,15801.16,10448.82,5663.621,1569.187,"",-3853.298,"",-6193.762,"",-8807.923,"",-10806.52
"REMIND-MAgPIE 2.1-4.2","CEMICS_SSP1-1p5C-fullCDR","World","Emissions|Kyoto Gases","Mt CO2-equiv/yr","",46693.1862,50889.8483,53661.9625,53854.018,41676.4939,34789.3824,27033.0149,18639.5882,11706.2464,8557.7108,6788.5888,5297.5218,"",2665.3566,"",950.9031,"",-255.78,"",-1270.6434
"REMIND 1.7","CEMICS-2.0-CDR8","World","Emissions|Kyoto Gases","Mt CO2-equiv/yr","",48717.3068,54361.63099999999,61652.101,62170.2981,50411.12,38095.4,29042.44,23196.41,18642.51,15386.36,13492.63,11783.23,"",8693.212,"",5804.232,"",2591.536,"",990.7485
